GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel,org.example.service.calculator,MultiThreadOccupancyCalculator.RoomOccupancyTask,3,44,0,2,0,10,1,3,1,2
hotel,org.example.service.calculator,SingleThreadOccupancyCalculator,0,43,0,4,0,12,0,4,0,2
hotel,org.example.service.calculator,MultiThreadOccupancyCalculator,7,88,0,2,2,14,0,3,0,2
hotel,org.example.room,MultiBedRoom,25,84,3,7,5,22,3,10,1,7
hotel,org.example.room,LuxuryRoom,25,85,3,7,5,23,3,10,1,7
hotel,org.example.room,Room,0,15,0,0,0,6,0,3,0,3
hotel,org.example.room,RoomType,3,32,0,0,1,7,1,2,1,2
hotel,org.example.room,SingleBedRoom,33,53,5,5,7,17,4,9,1,7
hotel,org.example.service,HotelService,41,421,8,20,7,68,9,16,1,8
hotel,org.example,Monitor,359,0,14,0,83,0,20,0,13,0
hotel,org.example,InputUtils,59,0,8,0,19,0,8,0,4,0
hotel,org.example,Guest,17,37,0,0,3,12,3,6,3,6
